день,группа,предмет,сложность,температура,осадки,тип погоды,количество пар,номера пар,успеваемость,процент посещаемости
Пятница,8,Организация обслуживания в гостиницах,3,18,False,ветер,4,"[1, 3, 4, 5]",63,83
Вторник,1,Прикладное программирование,5,4,False,солнечно,4,"[1, 2, 3, 5]",22,42
Среда,8,Основы программирования,5,4,False,солнечно,5,"[1, 2, 3, 4, 5]",22,67
Пятница,6,Архитектура компьютеров,4,34,False,пасмурно,4,"[1, 2, 3, 5]",30,47
Суббота,15,Тестирование программных продуктов,4,3,False,пасмурно,2,"[1, 2]",27,49
Понедельник,9,Физика,4,28,True,снег,2,"[3, 5]",20,30
Вторник,9,Маркетинг и менеджмент в сфере услуг,3,15,False,пасмурно,5,"[1, 2, 3, 4, 5]",50,71
Суббота,14,Основы информационных технологий,4,27,True,снег,2,"[1, 3]",20,30
Понедельник,2,Проектно-исследовательская деятельность,4,4,True,снег,3,"[1, 2, 4]",20,36
Пятница,10,Русский язык,3,30,True,град,5,"[1, 2, 3, 4, 5]",45,62
Суббота,12,Базы данных,4,22,True,град,3,"[2, 4, 5]",20,30
Суббота,10,Математические основы информатики,4,34,False,ветер,3,"[1, 3, 5]",20,38
Суббота,6,Виртуализация и облачные технологии,4,9,False,пасмурно,1,[1],20,54
Четверг,4,Тестирование программных продуктов,4,-1,False,пасмурно,5,"[1, 2, 3, 4, 5]",26,64
Пятница,8,Основы информационных технологий,4,29,False,солнечно,4,"[2, 3, 4, 5]",24,55
Вторник,6,Безопасность сетей,5,34,False,солнечно,3,"[1, 2, 5]",20,45
Понедельник,6,Организация обслуживания в гостиницах,3,0,False,солнечно,2,"[4, 5]",59,79
Четверг,13,Основы программирования,5,20,True,снег,3,"[2, 4, 5]",20,36
Понедельник,3,Обществознание,2,1,True,дождь,2,"[2, 5]",46,59
Вторник,6,Виртуализация и облачные технологии,4,18,False,солнечно,3,"[1, 3, 4]",20,53
Понедельник,10,История,2,31,True,дождь,4,"[2, 3, 4, 5]",47,55
Суббота,16,Техническое обслуживание компьютерных систем,3,9,False,пасмурно,2,"[1, 3]",46,71
Понедельник,11,Разработка программного обеспечения,5,28,False,пасмурно,2,"[2, 5]",20,45
Пятница,9,Основы программирования,5,27,True,град,3,"[3, 4, 5]",20,37
Пятница,12,Основы программирования,5,15,True,снег,2,"[1, 5]",20,30
Понедельник,1,Сетевые операционные системы,4,33,False,пасмурно,4,"[1, 2, 3, 4]",20,38
Четверг,11,Сетевые операционные системы,4,34,False,туман,3,"[1, 2, 5]",21,40
Четверг,9,Проектирование информационных систем,4,29,False,ветер,5,"[1, 2, 3, 4, 5]",21,53
Вторник,6,Сетевые операционные системы,4,29,False,туман,4,"[1, 2, 3, 5]",20,46
Четверг,5,Операционные системы,4,18,False,туман,2,"[2, 3]",29,57
Суббота,6,Техническое обслуживание компьютерных систем,3,21,False,ветер,2,"[1, 3]",50,76
Вторник,9,Эксплуатация компьютерных сетей,4,11,True,дождь,5,"[1, 2, 3, 4, 5]",20,30
Вторник,11,Обществознание,2,30,False,ветер,2,"[1, 4]",60,70
Среда,13,Методы и средства защиты информации,5,12,False,пасмурно,5,"[1, 2, 3, 4, 5]",20,57
Среда,2,Администрирование систем защиты,5,31,False,ветер,2,"[4, 5]",25,53
Четверг,12,Безопасность операционных систем и сетей,5,1,True,снег,5,"[1, 2, 3, 4, 5]",20,30
Пятница,10,Архитектура компьютеров,4,1,True,дождь,2,"[2, 5]",20,30
Суббота,9,Основы программирования,5,21,True,дождь,3,"[1, 2, 5]",20,30
Суббота,13,Математика,5,21,False,солнечно,3,"[1, 3, 4]",20,35
Суббота,13,Прикладное программирование,5,35,False,пасмурно,1,[5],20,34
Пятница,9,Проектирование информационных систем,4,18,False,ветер,5,"[1, 2, 3, 4, 5]",22,56
Среда,7,Операционные системы,4,24,False,ветер,2,"[1, 2]",28,62
Суббота,5,Обществознание,2,24,False,туман,1,[3],59,75
Среда,7,Маркетинг и менеджмент в сфере услуг,3,31,True,дождь,2,"[2, 3]",38,44
Четверг,13,Сетевые операционные системы,4,15,False,ветер,5,"[1, 2, 3, 4, 5]",20,59
Понедельник,12,История,2,27,False,туман,4,"[1, 3, 4, 5]",60,76
Пятница,16,Архитектура компьютеров,4,5,False,солнечно,3,"[2, 3, 5]",35,72
Понедельник,12,Математические основы информатики,4,33,False,пасмурно,2,"[3, 4]",29,53
Суббота,6,Русский язык,3,34,False,туман,1,[1],47,65
Вторник,15,Методы и средства защиты информации,5,-2,False,солнечно,2,"[2, 5]",23,61
Понедельник,14,Безопасность сетей,5,23,False,ветер,3,"[2, 3, 5]",31,71
Среда,1,Системное администрирование,4,-5,False,пасмурно,3,"[1, 3, 4]",33,60
Вторник,1,Методы и средства защиты информации,5,9,False,туман,2,"[1, 2]",20,47
Среда,9,Архитектура компьютеров,4,2,False,солнечно,2,"[2, 4]",21,61
Суббота,6,Безопасность операционных систем и сетей,5,8,False,солнечно,3,"[1, 3, 4]",29,68
Среда,6,Обществознание,2,26,False,солнечно,4,"[1, 3, 4, 5]",46,70
Пятница,15,Системное администрирование,4,23,False,ветер,2,"[3, 4]",35,68
Среда,11,Эксплуатация компьютерных сетей,4,16,False,пасмурно,3,"[1, 3, 5]",25,66
Вторник,7,Безопасность сетей,5,7,False,солнечно,3,"[3, 4, 5]",21,49
Четверг,5,Математические основы информатики,4,-2,False,пасмурно,3,"[1, 3, 5]",40,68
Суббота,16,Информатика,5,-2,False,пасмурно,3,"[1, 2, 4]",20,45
Понедельник,2,Основы информационных технологий,4,-5,False,пасмурно,4,"[1, 2, 3, 4]",33,64
Вторник,1,Основы информационных технологий,4,5,True,снег,4,"[1, 2, 4, 5]",21,57
Понедельник,6,Естествознание,3,-2,False,ветер,5,"[1, 2, 3, 4, 5]",49,71
Четверг,2,Естествознание,3,-3,True,дождь,3,"[3, 4, 5]",41,48
Среда,14,Основы информационных технологий,4,-4,True,дождь,2,"[1, 5]",20,36
Вторник,7,Криптография,5,-3,False,ветер,4,"[1, 2, 4, 5]",31,50
Понедельник,8,Базы данных,4,27,True,снег,3,"[1, 2, 5]",20,32
Четверг,7,Проектно-исследовательская деятельность,4,31,False,солнечно,2,"[2, 4]",20,49
Пятница,10,Геометрия,4,30,False,ветер,5,"[1, 2, 3, 4, 5]",20,42
Четверг,15,Веб-технологии,4,25,True,град,2,"[3, 5]",20,38
Среда,14,Русский язык,3,30,False,туман,3,"[1, 3, 5]",52,87
Понедельник,5,Математические основы информатики,4,23,False,ветер,4,"[2, 3, 4, 5]",35,63
Суббота,5,Основы информационных технологий,4,-3,False,солнечно,2,"[1, 3]",27,51
Вторник,15,Основы туризма и гостеприимства,3,23,False,туман,4,"[1, 2, 4, 5]",61,73
Среда,16,Математические основы информатики,4,18,True,дождь,4,"[2, 3, 4, 5]",20,42
Четверг,1,Администрирование систем защиты,5,6,False,пасмурно,2,"[1, 5]",38,61
Суббота,7,Информационная безопасность,5,30,False,ветер,1,[2],33,55
Суббота,2,Техническое обслуживание компьютерных систем,3,19,False,солнечно,3,"[1, 3, 4]",46,67
Четверг,15,Конфигурирование и администрирование сетей,5,22,False,ветер,2,"[2, 3]",23,67
Суббота,8,Маркетинг и менеджмент в сфере услуг,3,14,False,пасмурно,3,"[1, 2, 4]",46,64
Среда,13,Безопасность операционных систем и сетей,5,-2,False,туман,4,"[1, 2, 3, 5]",20,47
Пятница,15,Основы туризма и гостеприимства,3,-4,True,град,4,"[1, 2, 4, 5]",52,65
Четверг,1,Безопасность сетей,5,-5,False,ветер,4,"[1, 3, 4, 5]",23,63
Суббота,1,Математические основы информатики,4,14,True,дождь,2,"[1, 2]",20,37
Четверг,15,Базы данных,4,12,False,солнечно,3,"[2, 3, 5]",32,56
Четверг,3,Эксплуатация компьютерных сетей,4,9,True,дождь,2,"[1, 4]",20,41
Четверг,8,Естествознание,3,8,True,град,5,"[1, 2, 3, 4, 5]",38,58
Суббота,3,Геометрия,4,13,True,снег,1,[4],20,30
Понедельник,6,Математика,5,18,True,град,4,"[1, 3, 4, 5]",20,30
Вторник,15,История,2,14,True,снег,2,"[2, 4]",54,62
Вторник,8,Информатика,5,22,False,пасмурно,2,"[3, 4]",43,73
Понедельник,5,Техническое обслуживание компьютерных систем,3,11,True,снег,4,"[1, 3, 4, 5]",53,60
Вторник,12,Основы туризма и гостеприимства,3,34,False,пасмурно,5,"[1, 2, 3, 4, 5]",66,77
Суббота,13,Основы туризма и гостеприимства,3,0,False,туман,1,[4],39,65
Суббота,3,Основы сетевых технологий,4,-5,False,ветер,1,[3],20,45
Пятница,2,Архитектура компьютеров,4,19,True,град,5,"[1, 2, 3, 4, 5]",20,30
Суббота,5,Криптография,5,11,True,снег,2,"[1, 4]",20,40
Четверг,9,Физика,4,11,False,туман,3,"[2, 4, 5]",33,73
Четверг,8,Основы информационных технологий,4,30,False,ветер,2,"[1, 4]",20,47
Вторник,1,Безопасность операционных систем и сетей,5,32,False,ветер,5,"[1, 2, 3, 4, 5]",20,41
Четверг,13,Прикладное программирование,5,35,True,дождь,4,"[1, 3, 4, 5]",20,30
Среда,2,Веб-технологии,4,28,False,туман,4,"[2, 3, 4, 5]",20,46
Суббота,10,Основы информационных технологий,4,23,True,град,1,[4],20,31
Среда,3,Математика,5,-3,True,град,4,"[1, 3, 4, 5]",20,39
Вторник,12,Эксплуатация компьютерных сетей,4,12,False,туман,3,"[1, 3, 5]",21,45
Четверг,8,Основы информационных технологий,4,-1,False,туман,5,"[1, 2, 3, 4, 5]",20,41
Среда,13,Проектирование информационных систем,4,18,False,туман,2,"[2, 5]",22,66
Среда,5,Русский язык,3,13,False,ветер,4,"[1, 2, 3, 5]",52,84
Среда,10,Проектирование информационных систем,4,10,True,град,4,"[1, 2, 3, 4]",20,30
Вторник,16,Безопасность операционных систем и сетей,5,33,False,туман,5,"[1, 2, 3, 4, 5]",20,58
Пятница,8,Базы данных,4,31,True,снег,5,"[1, 2, 3, 4, 5]",20,34
Четверг,15,Техническое обслуживание компьютерных систем,3,26,False,солнечно,2,"[1, 2]",63,77
Суббота,15,Математические основы информатики,4,-3,True,снег,3,"[2, 3, 5]",20,30
Понедельник,12,Математика,5,23,True,дождь,5,"[1, 2, 3, 4, 5]",20,41
Понедельник,4,История,2,34,False,ветер,4,"[2, 3, 4, 5]",34,56
Пятница,10,Основы сетевых технологий,4,29,False,туман,2,"[2, 5]",20,43
Пятница,14,Конфигурирование и администрирование сетей,5,27,True,дождь,4,"[1, 3, 4, 5]",20,31
Пятница,1,Базы данных,4,14,False,ветер,2,"[2, 3]",36,63
Понедельник,7,Веб-технологии,4,8,False,солнечно,5,"[1, 2, 3, 4, 5]",22,63
Суббота,4,Операционные системы,4,7,True,снег,2,"[1, 4]",20,30
Четверг,13,Геометрия,4,28,False,солнечно,2,"[2, 4]",33,75
Вторник,10,Диагностика и ремонт оборудования,4,-3,False,туман,2,"[1, 2]",21,52
Пятница,5,Безопасность сетей,5,-5,False,туман,4,"[1, 2, 3, 5]",20,42
Пятница,3,Основы туризма и гостеприимства,3,5,True,снег,4,"[1, 2, 3, 5]",41,62
Четверг,11,Сетевые операционные системы,4,27,False,ветер,2,"[1, 4]",37,62
Вторник,7,Криптография,5,32,False,пасмурно,3,"[2, 3, 4]",20,31
Суббота,4,Русский язык,3,32,False,ветер,3,"[1, 2, 5]",43,67
Четверг,7,Маркетинг и менеджмент в сфере услуг,3,19,False,пасмурно,2,"[2, 5]",56,81
Понедельник,8,Криптография,5,25,True,град,3,"[2, 3, 4]",20,53
Четверг,13,Организация обслуживания в гостиницах,3,21,False,пасмурно,5,"[1, 2, 3, 4, 5]",56,70
Четверг,6,Диагностика и ремонт оборудования,4,11,False,ветер,2,"[2, 4]",25,57
Среда,12,Методы и средства защиты информации,5,5,True,дождь,3,"[1, 2, 5]",20,46
Понедельник,15,Математические основы информатики,4,1,False,туман,3,"[2, 3, 4]",27,61
Четверг,4,Криптография,5,14,False,ветер,5,"[1, 2, 3, 4, 5]",23,61
Понедельник,14,Разработка программного обеспечения,5,20,True,дождь,5,"[1, 2, 3, 4, 5]",23,53
Среда,8,Русский язык,3,14,False,ветер,3,"[1, 2, 3]",80,89
Понедельник,16,Физика,4,-4,True,дождь,4,"[1, 2, 3, 4]",27,50
Пятница,13,Техническое обслуживание компьютерных систем,3,5,False,туман,5,"[1, 2, 3, 4, 5]",55,71
Вторник,11,Системное администрирование,4,-1,False,солнечно,3,"[1, 2, 5]",20,45
Понедельник,7,Информатика,5,25,False,туман,3,"[1, 3, 4]",28,60
Вторник,9,Виртуализация и облачные технологии,4,30,False,туман,2,"[1, 3]",22,56
Суббота,9,Криптография,5,13,False,пасмурно,2,"[2, 4]",31,61
Среда,7,Прикладное программирование,5,32,False,туман,4,"[1, 3, 4, 5]",20,33
Четверг,2,Физика,4,7,False,пасмурно,4,"[1, 2, 3, 4]",31,70
Вторник,1,Обществознание,2,13,False,туман,4,"[1, 3, 4, 5]",60,71
Суббота,13,Сетевые операционные системы,4,-1,False,туман,2,"[1, 4]",20,42
Среда,5,Тестирование программных продуктов,4,35,False,туман,5,"[1, 2, 3, 4, 5]",24,59
Среда,1,Архитектура компьютеров,4,18,True,дождь,2,"[2, 4]",20,36
Суббота,1,Безопасность сетей,5,6,False,пасмурно,3,"[3, 4, 5]",23,44
